from,to,company,Plane,Train,Car,Bus
Almaty,Rome,TravelCo,500,350,400,300
Almaty,Paris,EuroTravel,650,450,500,380
Astana,London,UKExpress,800,600,650,500
Almaty,Istanbul,TurkishRoutes,350,250,280,200
Astana,Dubai,DesertTravel,600,450,480,350
Almaty,Moscow,SlavicTrans,300,200,220,150
Astana,Beijing,AsiaConnect,550,400,420,320
Almaty,Tokyo,PacificExpress,900,700,750,600
Astana,New York,GlobalTravel,1200,900,950,800
Almaty,Singapore,AsianRoutes,850,650,680,550
Astana,Frankfurt,GermanConnect,700,500,520,420
Almaty,Madrid,IberianTravel,600,450,480,380
Astana,Bangkok,AsianComfort,650,500,520,400
Almaty,Sydney,OceanicTravel,1100,850,900,750
Astana,Amsterdam,DutchRoutes,750,550,580,450
Almaty,Seoul,KoreanExpress,800,600,620,500
Astana,Mumbai,IndiaConnect,600,450,470,350
Almaty,Vienna,AlpineTravel,550,400,420,320
Astana,Prague,CentralEurope,500,350,380,280
Almaty,Warsaw,PolishRoutes,450,300,320,250
Astana,Helsinki,NordicTravel,600,450,470,350
Almaty,Cairo,AfricanRoutes,400,280,300,220
Astana,Athens,Mediterranean,450,320,340,260
Almaty,Lisbon,AtlanticCoast,650,480,500,380
Astana,Stockholm,Scandinavian,700,520,550,420
Almaty,Oslo,NorwegianRoutes,680,500,520,400
Astana,Copenhagen,DanishTravel,720,540,560,440
Almaty,Brussels,EUCentral,580,420,440,340
Astana,Zurich,AlpineLuxury,750,580,600,480
Almaty,Geneva,SwissComfort,780,600,620,500
Astana,Dublin,CelticRoutes,650,480,500,380
Almaty,Manchester,UKRegional,620,460,480,360
Astana,Edinburgh,ScottishTravel,590,440,460,340
Almaty,Barcelona,CatalanRoutes,550,400,420,320
Astana,Milan,ItalianStyle,600,450,470,350
Almaty,Venice,CanalTravel,480,350,370,280
Astana,Berlin,GermanCapital,520,380,400,300
Almaty,Hamburg,PortCityTravel,530,390,410,310
Astana,Munich,BavarianRoutes,710,530,550,430
Almaty,Shanghai,ChinaExpress,820,620,650,520
Astana,Hong Kong,AsiaPremium,880,680,700,580
Almaty,Barcelona,CatalanRoutes,550,400,420,320
